id,labels.uz.value,labels.bs.value,labels.is.value,labels.sq.value,labels.tg.value,labels.mn.value,labels.zh-tw.value,labels.hi.value,labels.te.value,labels.gu.value,labels.ka.value,labels.kk.value,labels.lv.value,labels.bn.value,labels.kn.value,labels.et.value,labels.sl.value,labels.az.value,labels.ta.value
Q269,,,,,,,塔什干,,,તાશકેન્ટ,,,,টাসকেন্ট,,Taškent,,,டாஷ்கென்ட்
Q994,,,,,,,提比里斯,टिबिलीसी,తిబిలీసి,ટિબિલિસિ,,,,,,,,,டபலீஸி
Q3238,Tegusigalpa,,,Tegucigalpa,Тегусигалпа,Тегусигальпа,德古斯加巴,टेगुसिगाल्पा,,ટેગુસિગલ્પા,,Тегусигальпа,,তেগুচিগাল্পা,ಟೆಗುಸಿಗಲ್ಪಾ,,,,டகூஸிகால்ப
Q3616,,,,,,,,,,તેહરાન,,,,,,,,,டேஹ்ரான்
Q11736,,Tianjin,Tianjin,Tianxhin,Тянҷин,,天津市,,టియాంజిన్,તિયાન્જીન,,,,তিয়ানজিন,ಟಿಯಾಂಜಿನ್,,,,ட்யான்ஜின்
Q124739,Tixuana,Tijuana,,Tihuana,Тиҳуана,,,तिजुआना,టిజువానా,ટિવાના,,Тихуана,,তিজুয়ানা,ಟಿ‍ಯುವಾನಾ,,,Tixuana,டீயவனா
Q1490,,,,Tokio,Токио,,,,,ટોક્યો,,,,,ಟೋಕಿಯೋ,Tokyo,,,டோக்யோ
Q172,Toronto,,,,Торонто,,,टोरंटो,,ટોરંટો,,,,টোরোন্টো,,,,,டோரான்டோ
Q3579,,,,Tripoli,,,的黎波里,त्रिपोली,ట్రిపోలి,ટ્રિપલી,,,,,ಟ್ರಿಪೋಲಿ,,,,ட்ரிபலீ
Q3572,,,,Tunizi,,Тунис,突尼西亞市,,ట్యూనిస్,ટ્યૂનિસ,,Тунис,,,ಟ್ಯುನಿಸ್,,,,டூநீஸ்
Q495,,,,,,,杜林,ट्यूरिन,,ટ્યૂરિન,,,,,ಟುರಿನ್,,,,டூரின்
Q911,,,,,,,烏法,,ఊఫా,ઉફા,,,,ইউফা,ಉಫಾ,,,,
Q23430,,,,Ulanbatar,,,,उलानबातर,ఉలాన్బతార్,ઉલાનબાતર,,,,,ಉಲಾನ್ಬ‍ಟೌ,,,,உளன்படார்
Q16959,,Urumqi,Úrúmqi / Ürümqi,Urumqi,Урумчи,Өрөмч,烏魯木齊市,,ఉరుమ్చి,ઉરુમ્કી,ურუმჩი,,,উরুমকি,ಯುರು‍ಮ್‌ಚಿ,,Urumči,,உறும்ட்சீ
Q1844,,,,,,,瓦都茲,वादुज़,,વાદુઝ,,Вадуц,,ভাডুজ,ವಾಡಝ್,,,,வாடுஸ்
Q23800,,,,,,,法勒他,वैलेटा,వలెటా,વેલેટા,,,Valeta,,ವೆಲೆಟ್ಟ,,,,வலேட்டா
Q24639,,,,Vankuver,Ванкувер,,溫哥華,,,વેંકૂવર,,,,ভ্যাঙ্কুভার,ವ್ಯಾನ್ ಕೋವರ್,,,,
Q2028,,,,,Верона,Верона,維洛那,,వెరోనా,વેરોના,,,,ভেরোনা,ವೆರೋನಾ,,,,வேறோனா
Q3940,,,Viktoría,Viktoria,Виктория,Викториа,維多利亞,विक्टोरिया,,વિક્ટોરિયા,,Виктория,,ভিক্টোরিয়া,ವಿಕ್ಟೋರಿಯಾ,,Viktorija,Viktoriya,
Q1741,,,,Viena,,,,,,વિયેના,,,,,,,,,
Q216,Vilnyus,,,,,Вильнюс,,विलनियस,,વિલ્નીયસ,,,,ভিলনিয়াস,ವಿಲ್ನಿಯಸ್,,,,
Q959,,,,Vladivostok,Владивосток,,,व्लादिवोस्तक,వ్లాదివాస్టోక్,વ્લાદિવોસ્ટોક,,Владивосток,,ভ্লাদিভস্তক,ವ್ಲಾಡಿವೋಸ್ಟಾಕ್,,,,வ்லடிவஸ்டோக்
Q914,Volgograd,,,,,,伏爾加格勒,,వోల్గోగ్రాడ్,વોલ્ગોગ્રેડ,,,,ভলগোগ্রাদ,ವೋಲ್ಗೋಗ್ರಾಡ್,,,,வல்ககிராட்
Q270,,,,,,,,वॉरसॉ,,વૉરસો,,,,ওয়ারশ,,,,,வார்ஸா
Q61,,,,,,,,"वाशिंगटन,डी.सी.",,"વોશિંગ્ટન,ડી.સી.",,,,ওয়াশিংটন ডিসি,ವಾಷಿಂಗ್ಟನ್ ‍‍‍ಡಿ ಸಿ,,,,"வாஷிங்டன், டி. ஸி."
Q23661,,,,Uellington,Веллингтон,,威靈頓,वेलिंगटन,,,,,,,,,,,
Q2135,Vinnipeg,,,Uinipeg,Виннипег,Виннипег,溫尼伯,विनीपैग,విన్నిపెగ్,વિનીપેગ,ვინიპეგი,Виннипег,,উইনিপেগ,ವಿನ್ನಿಪೆಗ್,,,,வின்னிபெக்
Q11746,,Wuhan,,,Ухан,,武漢市,,వుహాన్,વુહાન,,,,উহান,ವುಹಾನ್,,,Uhan,வூஹான்
Q5826,,Xi'an,Xi'an,,Сиан,,,झियान,జియాన్,શિયાન,ქსიანი,Сиань,,জিয়ান,ಕ್ಸಿಯಾನ್,,,,ஷியான்
Q6610,,,Jakútsk,Jakutsk,Якутск,Якутск,雅庫茨克,,యాకుట్స్క్,યાકૂત્સ્ક,იაკუტსკი,,,ইয়াকুটস্ক,ಯಕು‍ಸ್ಕ್,,Jakutsk,,யகுட்ஸ்க்
Q3768,,,,Jamusukro,,Ямусукро,雅穆索戈,यामूसूक्रो,యామోసూక్రో,યામોસ્સોક્રો,,,,ইয়ামোসোক্রো,ಯಮೌಸೌಕ್ರೋ,,,,யமாஸுக்ரோ
Q37995,,,Jangón,Jangon,Янгон,Янгон,仰光,येंगून,,યાંગૂન,,,,ইয়াঙ্গুন,ಯಾಂಗಾನ್,,,,யாங்கான்
Q3808,,,,,,Яунде,雅溫德,याउन्दे,యావుండె,યાઓન્ડે,,Яунде,,ইয়াউন্দে,ಯೌಂಡೆ,,Yaounde,,
Q887,,,Jekaterínburg,Ekaterinburg,,,,येकाटेरिनबर्ग,యెకాటెరిన్బుర్గ్,યેકાટરિંગબર્ગ,,,,ইয়েকাটেরিনবার্গ,‍ಯುಕಾಟೆರಿನ್ಬರ್ಗ್,,,,
Q1953,,,,,,,葉里溫,,,યેરેવન,,,,,ಯೆರೆವನ್,,,,யெரவான்
Q7859,Yujno-Saxalinsk,Yuzhno-Sakhalinsk,Júzhno-Sakhalínsk,Juzhno-Sakalinsk,Южно-Сахалинск,,南薩哈林斯克,यूज़्नो-सखालिंस्क,యూజ్నో-సకలిన్స్క్,યૂઝ્નો-સખલીંસ્ક,იუჟნო-სახალინსკი,Южно-Сахалинск,,ইউজোনো-সাখালিনস্ক,ಯುಝ್ನೋ ಸ‍ಖ್ಲಿಂಸ್ಕ್,,Južno-Sahalinsk,,யூஃஜ்னோ-ஸக்ஹளின்ஸ்க்
Q1435,,,,,,,札格瑞布,ज़ग्रेब,జాగ్రెబ్,જ઼ાગ્રેબ,,,,,ಝಗ್ರೇಬ್ ,,,,ஃஜாக்ரெப்
Q30340,Chjenjou,Zhengzhou,,,Женжоу,,,,జెంగ్జో,જ઼ેંગજ઼્યૂ,ჟენჯოუ,Чжэнчжоу,,জিয়াংজৌ,ಝೆಂಗ್‌ಝೌ,,,Çjençjou,ஜெங்ஜௌ
Q72,,,,Zyrih,Зюрих,Цюрих,,,జ్యూరిక్,જ્યૂરિચ,,,,,ಜ್ಯೂರಿ‍ಕ್,,,,ஜூரிக்
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Unchanged,235,267,257,162,158,189,89,151,121,27,281,214,303,141,87,302,254,274,87
Changes,97,65,75,170,174,143,243,181,211,305,51,118,29,191,245,30,78,58,245
